Epochs,Best ever for all nodes Layer .classifier,Best current for all nodes Layer .classifier
0,0.006331188138574362,
1,0.007958655245602131,
2,0.007958655245602131,
3,0.00850582029670477,
4,0.008891206234693527,
5,0.009524854831397533,
6,0.009633290581405163,
7,0.009656781330704689,
8,0.009656781330704689,
9,0.009656781330704689,
10,0.009656781330704689,
11,0.0096691083163023,
12,0.010362544097006321,
13,0.010362544097006321,
14,0.010392735712230206,
15,0.010392735712230206,
16,0.010392735712230206,
17,0.010553414933383465,
18,0.010553414933383465,
