Epochs,Best ever for all nodes Layer .classifier,Best current for all nodes Layer .classifier
0,0.006331188138574362,
1,0.007958655245602131,
2,0.007958655245602131,
3,0.00850582029670477,
4,0.008891206234693527,
5,0.009524854831397533,
6,0.009633290581405163,
7,0.009656781330704689,
8,0.009656781330704689,
9,0.009656781330704689,
10,0.009656781330704689,
11,0.0096691083163023,
12,0.010362544097006321,
13,0.010362544097006321,
14,0.010392735712230206,
15,0.010392735712230206,
16,0.010392735712230206,
17,0.010553414933383465,
18,0.010553414933383465,
19,0.0039407010190188885,
20,0.004493545275181532,
21,0.00477501330897212,
22,0.0065751648508012295,
23,0.0065751648508012295,
24,0.006687078159302473,
25,0.007475816644728184,
26,0.007475816644728184,
27,0.007475816644728184,
28,0.007475816644728184,
29,0.007570377551019192,
30,0.007570377551019192,
31,0.007570377551019192,
32,0.007570377551019192,
33,0.007570377551019192,
34,0.007570377551019192,
35,0.007611245382577181,
36,0.007611245382577181,
37,0.007611245382577181,
38,0.007611245382577181,
39,0.007611245382577181,
40,0.007630862761288881,
41,0.007663425989449024,
42,0.007712746504694223,
43,0.00807118508964777,
44,0.00807118508964777,
45,0.00807118508964777,
46,0.00807118508964777,
47,0.00807118508964777,
