epoch,params
0,26337
1,26337
2,26337
3,26337
4,26337
5,26337
6,26337
7,26337
8,26337
9,26337
10,26337
11,26337
12,26337
13,26337
14,26337
15,26337
16,26337
17,26337
18,26337
19,26337
20,26337
21,26337
22,26337
23,26337
24,26337
25,26337
26,26337
27,26337
28,26337
29,26337
30,26337
31,26337
32,26337
33,26337
34,26337
35,26337
36,26337
37,26337
38,26337
39,26337
40,26337
41,26337
42,26337
43,26337
44,26337
45,26337
46,26337
47,26337
48,26337
49,26337
50,26337
51,26337
52,26337
53,26337
54,26337
55,26337
56,26337
57,26337
58,26337
59,26337
60,26337
61,26337
62,26337
63,26337
64,26337
65,26337
66,26337
67,26337
68,26337
69,26337
70,26337
71,26337
72,39649
73,39649
74,39649
75,39649
76,39649
77,39649
78,39649
79,39649
80,39649
81,39649
82,39649
83,39649
84,39649
85,39649
86,39649
87,39649
88,39649
89,39649
90,39649
91,39649
92,39649
93,39649
94,39649
95,39649
96,39649
97,39649
98,39649
99,39649
100,39649
101,39649
102,39649
103,39649
104,39649
105,39649
106,39649
107,39649
108,39649
109,39649
110,39649
111,39649
112,39649
113,39649
114,39649
115,39649
116,39649
117,39649
118,39649
119,39649
120,39649
121,39649
122,39649
123,39649
124,39649
125,39649
126,39649
127,39649
128,39649
129,39649
130,39649
131,39649
132,39649
133,39649
134,39649
135,39649
136,39649
137,39649
138,39649
139,39649
140,39649
141,53441
142,53441
143,53441
144,53441
145,53441
146,53441
147,53441
148,53441
149,53441
150,53441
151,53441
152,53441
153,53441
154,53441
155,53441
156,53441
157,53441
158,53441
159,53441
160,53441
161,53441
162,53441
163,53441
164,53441
165,53441
166,53441
167,53441
168,53441
169,53441
170,53441
171,53441
172,53441
173,53441
174,53441
175,53441
176,53441
177,53441
178,53441
179,53441
180,53441
181,53441
182,53441
183,53441
184,53441
185,53441
186,53441
187,53441
188,53441
189,53441
190,53441
191,53441
192,53441
193,53441
194,53441
195,53441
196,53441
197,53441
198,53441
199,53441
200,53441
201,53441
202,53441
203,53441
204,53441
205,53441
206,53441
207,67553
208,67553
209,67553
210,67553
211,67553
212,67553
213,67553
214,67553
215,67553
216,67553
217,67553
218,67553
219,67553
220,67553
221,67553
222,67553
223,67553
224,67553
225,67553
226,67553
227,67553
228,67553
229,67553
230,67553
231,67553
232,67553
233,67553
234,67553
235,67553
236,67553
237,67553
238,67553
239,67553
240,67553
241,67553
242,67553
243,67553
244,67553
245,67553
246,67553
247,67553
248,67553
249,67553
250,67553
251,67553
252,67553
253,67553
254,67553
255,67553
256,67553
257,67553
258,67553
259,67553
260,67553
261,67553
262,67553
263,67553
264,67553
265,67553
266,67553
267,67553
268,67553
269,67553
270,67553
271,67553
272,67553
273,67553
274,67553
275,67553
276,67553
277,67553
278,67553
279,67553
280,67553
281,67553
282,67553
283,67553
284,81985
285,81985
286,81985
287,81985
288,81985
289,81985
290,81985
291,81985
292,81985
293,81985
294,81985
295,81985
296,81985
297,81985
298,81985
299,81985
300,81985
301,81985
302,81985
303,81985
304,81985
305,81985
306,81985
307,81985
308,81985
309,81985
310,81985
311,81985
312,81985
313,81985
314,81985
315,81985
316,81985
317,81985
318,81985
319,81985
320,81985
321,81985
322,81985
323,81985
324,81985
325,81985
326,81985
327,81985
328,81985
329,81985
330,81985
331,81985
332,81985
333,81985
334,81985
335,81985
336,81985
337,81985
338,81985
339,81985
340,81985
341,81985
342,81985
343,81985
344,81985
345,81985
346,81985
347,81985
348,81985
349,81985
350,81985
351,81985
352,81985
353,81985
354,81985
355,81985
356,81985
357,81985
358,81985
359,81985
360,81985
361,81985
362,81985
363,81985
364,81985
365,81985
366,81985
367,81985
368,81985
369,81985
370,81985
371,81985
372,81985
373,81985
374,81985
375,81985
376,81985
377,81985
378,81985
379,81985
380,81985
381,81985
382,81985
383,81985
384,81985
385,81985
386,81985
387,81985
388,81985
389,81985
390,81985
391,81985
392,81985
393,81985
394,81985
395,81985
396,81985
397,81985
398,81985
399,81985
400,81985
401,81985
402,81985
403,81985
404,81985
405,81985
406,81985
407,81985
408,81985
409,81985
410,81985
411,81985
412,96737
413,96737
414,96737
415,96737
416,96737
417,96737
418,96737
419,96737
420,96737
421,96737
422,96737
423,96737
424,96737
425,96737
426,96737
427,96737
428,96737
429,96737
430,96737
431,96737
432,96737
433,96737
434,96737
435,96737
436,96737
437,96737
438,96737
439,96737
440,96737
441,96737
442,96737
443,96737
444,96737
445,96737
446,96737
447,96737
448,96737
449,96737
450,96737
451,96737
452,96737
453,96737
454,96737
455,96737
456,96737
457,96737
458,96737
459,96737
460,96737
461,96737
462,96737
463,96737
464,96737
465,96737
466,96737
467,96737
468,96737
469,96737
470,96737
471,96737
472,96737
473,96737
474,96737
475,96737
476,96737
477,96737
478,96737
479,96737
480,96737
481,96737
482,96737
483,96737
484,96737
485,96737
486,96737
487,96737
488,96737
489,96737
490,96737
491,96737
492,96737
493,96737
494,96737
495,96737
496,96737
497,96737
498,96737
499,96737
500,96737
501,96737
502,96737
503,96737
504,96737
505,96737
506,96737
507,96737
508,96737
509,96737
510,96737
511,96737
512,96737
513,96737
514,96737
515,96737
516,96737
517,96737
518,96737
519,96737
520,96737
521,96737
522,96737
523,96737
524,96737
525,96737
526,96737
527,96737
528,96737
529,96737
530,96737
531,96737
532,96737
533,96737
534,96737
535,96737
536,96737
537,96737
538,96737
539,96737
540,96737
541,96737
542,96737
543,111809
544,111809
545,111809
546,111809
547,111809
548,111809
549,111809
550,111809
551,111809
552,111809
553,111809
554,111809
555,111809
556,111809
557,111809
558,111809
559,111809
560,111809
561,111809
562,111809
563,111809
564,111809
565,111809
566,111809
567,111809
568,111809
569,111809
570,111809
571,111809
572,111809
573,111809
574,111809
575,111809
576,111809
577,111809
578,111809
579,111809
580,111809
581,111809
582,111809
583,111809
584,111809
585,111809
586,111809
587,111809
588,111809
589,111809
590,111809
591,111809
592,111809
593,111809
594,111809
595,111809
596,111809
597,111809
598,111809
599,111809
600,111809
601,111809
602,111809
603,111809
604,111809
605,111809
606,111809
607,127201
608,127201
609,127201
610,127201
611,127201
612,127201
613,127201
614,127201
615,127201
616,127201
617,127201
618,127201
619,127201
620,127201
621,127201
622,127201
623,127201
624,127201
625,127201
626,127201
627,127201
628,127201
629,127201
630,127201
631,127201
632,127201
633,127201
634,127201
635,127201
636,127201
637,127201
638,127201
639,127201
640,127201
641,127201
642,127201
643,127201
644,127201
645,127201
646,127201
647,127201
648,127201
649,127201
650,127201
651,127201
652,127201
653,127201
654,127201
655,127201
656,127201
657,127201
658,127201
659,127201
660,127201
661,127201
662,127201
663,127201
664,127201
665,127201
666,127201
667,127201
668,127201
669,127201
670,127201
671,127201
672,127201
673,127201
674,127201
675,127201
676,127201
677,127201
678,127201
679,127201
680,127201
681,127201
682,127201
683,127201
684,127201
685,127201
686,142913
687,142913
688,142913
689,142913
690,142913
691,142913
692,142913
693,142913
694,142913
695,142913
696,142913
697,142913
698,142913
699,142913
700,142913
701,142913
702,142913
703,142913
704,142913
705,142913
706,142913
707,142913
708,142913
709,142913
710,142913
711,142913
712,142913
713,142913
714,142913
715,142913
716,142913
717,142913
718,142913
719,142913
720,142913
721,142913
722,142913
723,142913
724,142913
725,142913
726,142913
727,142913
728,142913
729,142913
730,142913
731,142913
732,142913
733,142913
734,142913
735,142913
736,142913
737,142913
738,142913
739,142913
740,142913
741,142913
742,142913
743,142913
744,142913
745,142913
746,142913
747,142913
748,142913
749,142913
750,142913
751,142913
752,142913
753,142913
754,142913
755,127201
