Epochs,Normal Epoch Times,PAI Epoch Times
0,35.96077489852905,
1,36.964919328689575,
2,36.43178057670593,
3,36.58231782913208,
4,36.329660415649414,
5,36.54070258140564,
6,36.759403705596924,
7,36.765958070755005,
8,36.61835765838623,
9,36.37337350845337,
10,36.772398948669434,
11,36.198888301849365,
12,36.47916507720947,
13,36.55538058280945,
14,36.72511672973633,
15,36.51465082168579,
16,36.37271690368652,
17,36.3597457408905,
18,36.5636670589447,
19,36.682915925979614,
20,36.50339102745056,
