Epochs,Validation Scores,Validation Running Scores,Train,Test Accuracy
39,,,66.09375,
40,,,68.984375,
41,,,67.96875,
42,,,70.9375,
43,,,71.40625,
44,,,71.875,
45,,,71.25,
46,,,70.46875,
47,,,70.3125,
48,,,73.828125,
49,,,72.34375,
50,,,72.890625,
51,,,73.359375,
52,,,74.6875,
53,,,72.265625,
54,,,75.15625,
55,,,73.828125,
56,,,74.609375,
57,,,76.640625,
58,,,76.015625,
59,,,78.828125,
60,,,76.875,
61,,,78.671875,
62,,,77.734375,
63,,,78.90625,
64,,,78.4375,
65,,,78.28125,
66,,,77.5,
67,,,77.890625,
68,,,77.734375,
69,,,78.75,
70,,,77.96875,
71,,,78.359375,
72,,,73.359375,
73,,,75.703125,
74,,,75.390625,
75,,,75.234375,
76,,,75.546875,
77,,,77.890625,
78,,,78.125,
79,,,78.4375,
80,,,77.734375,
81,,,77.1875,
82,,,78.984375,
83,,,78.90625,
84,,,79.6875,
85,,,79.609375,
86,,,80.546875,
87,,,81.171875,
88,,,79.453125,
89,,,79.765625,
90,,,81.09375,
91,,,81.328125,
92,,,82.65625,
93,,,81.71875,
94,,,82.8125,
95,,,80.46875,
96,,,83.28125,
97,,,83.984375,
98,,,83.28125,
99,,,84.296875,
100,,,82.578125,
101,,,83.515625,
102,,,84.21875,
103,,,84.21875,
104,,,84.140625,
105,,,84.609375,
106,,,83.671875,
107,,,84.0625,
108,,,84.921875,
109,,,86.25,
110,,,85.234375,
111,,,86.25,
112,,,86.09375,
113,,,87.421875,
114,,,89.296875,
115,,,88.75,
116,,,89.375,
117,,,90.15625,
118,,,89.53125,
119,,,88.28125,
120,,,89.84375,
121,,,89.375,
122,,,90.546875,
123,,,89.296875,
124,,,90.15625,
125,,,91.875,
126,,,90.625,
127,,,91.25,
128,,,91.71875,
129,,,91.015625,
130,,,91.171875,
131,,,92.8125,
132,,,92.578125,
133,,,90.625,
134,,,91.796875,
135,,,92.578125,
136,,,93.4375,
137,,,92.03125,
138,,,93.046875,
139,,,93.359375,
140,,,93.828125,
141,,,91.171875,
142,,,90.859375,
143,,,91.796875,
144,,,91.640625,
145,,,91.171875,
0,,,,11.75
1,,,,18.0
2,,,,23.25
3,,,,22.75
4,,,,27.25
5,,,,29.25
6,,,,30.25
7,,,,33.25
8,,,,26.0
9,,,,39.5
10,,,,35.5
11,,,,40.25
12,,,,44.0
13,,,,43.5
14,,,,41.75
15,,,,38.5
16,,,,41.5
17,,,,47.0
18,,,,47.75
19,,,,47.75
20,,,,47.75
21,,,,47.5
22,,,,45.5
23,,,,47.5
24,,,,48.75
25,,,,50.75
26,,,,55.0
27,,,,46.25
28,,,,51.5
29,,,,56.5
30,,,,53.5
31,,,,52.25
32,,,,52.25
33,,,,56.5
34,,,,56.25
35,,,,57.0
36,,,,51.0
37,,,,57.0
38,,,,56.75
39,,,,55.75
40,,,,59.0
41,,,,59.0
42,,,,58.25
43,,,,63.25
44,,,,62.5
45,,,,61.75
46,,,,59.25
47,,,,60.25
48,,,,60.25
49,,,,62.5
50,,,,62.75
51,,,,62.75
52,,,,63.25
53,,,,63.25
54,,,,62.5
55,,,,59.25
56,,,,64.25
57,,,,63.25
58,,,,64.25
59,,,,63.5
60,,,,63.75
61,,,,64.75
62,,,,63.75
63,,,,65.5
64,,,,62.5
65,,,,66.25
66,,,,66.25
67,,,,65.0
68,,,,64.75
69,,,,63.5
70,,,,64.25
71,,,,66.25
72,,,,60.5
73,,,,61.25
74,,,,62.5
75,,,,61.0
76,,,,64.5
77,,,,62.75
78,,,,61.25
79,,,,63.5
80,,,,61.0
81,,,,63.25
82,,,,64.25
83,,,,59.75
84,,,,65.25
85,,,,63.5
86,,,,69.5
87,,,,65.25
88,,,,65.0
89,,,,66.75
90,,,,66.25
91,,,,67.5
92,,,,66.75
93,,,,65.75
94,,,,66.0
95,,,,66.75
96,,,,66.25
97,,,,67.0
98,,,,66.5
99,,,,66.25
100,,,,67.0
101,,,,65.75
102,,,,67.0
103,,,,66.5
104,,,,71.25
105,,,,66.5
106,,,,69.5
107,,,,67.5
108,,,,66.5
109,,,,69.25
110,,,,67.75
111,,,,67.75
112,,,,68.5
113,,,,72.5
114,,,,68.0
115,,,,71.75
116,,,,70.5
117,,,,72.5
118,,,,72.25
119,,,,72.0
120,,,,71.75
121,,,,71.75
122,,,,73.0
123,,,,73.5
124,,,,71.75
125,,,,72.0
126,,,,72.5
127,,,,73.25
128,,,,74.25
129,,,,73.75
130,,,,74.5
131,,,,75.25
132,,,,74.75
133,,,,73.75
134,,,,74.75
135,,,,75.0
136,,,,74.75
137,,,,74.25
138,,,,74.75
139,,,,75.5
140,,,,75.0
141,,,,72.5
142,,,,72.0
143,,,,72.5
144,,,,71.5
145,,,,72.0
