Epochs,Normal Epoch Times,PAI Epoch Times
0,10.10695767402649,
1,9.43488621711731,
2,9.363408088684082,
3,9.51925277709961,
4,9.347670078277588,
5,9.327822923660278,
6,9.58153486251831,
7,9.647818088531494,
8,9.768322229385376,
9,9.438768148422241,
10,9.21219778060913,
11,9.329040050506592,
12,9.136372804641724,
13,9.613256931304932,
14,9.874505043029785,
15,9.554062128067017,
16,9.512279033660889,
17,9.37758493423462,
18,9.337026119232178,
19,9.188598871231079,
20,9.889132022857666,
21,9.580666065216064,
22,9.804621934890747,
23,9.759980201721191,
24,9.261453866958618,
25,9.188318014144897,
26,10.048986196517944,
27,9.65006399154663,
28,9.458387851715088,
29,9.356364011764526,
30,9.152769088745117,
31,9.397386074066162,
32,10.348959922790527,
33,9.581550121307373,
34,9.684174060821533,
35,10.280696868896484,
36,9.94354510307312,
37,9.124024629592896,
38,9.20182991027832,
39,9.108572006225586,
40,9.365291595458984,
41,9.196362018585205,
42,9.364979982376099,
43,9.131091833114624,
44,9.311485290527344,
45,9.144037961959839,
46,9.25960087776184,
47,9.173437356948853,
48,9.201178789138794,
49,9.301836013793945,
50,9.251335859298706,
51,9.209595918655396,
52,9.17047119140625,
53,9.266272068023682,
54,9.150151252746582,
55,9.319700956344604,
56,9.227768659591675,
57,9.319398164749146,
58,9.164693117141724,
59,9.338879108428955,
60,9.14610505104065,
61,9.388224840164185,
62,9.156851053237915,
63,9.395899295806885,
64,9.203954935073853,
65,9.287376880645752,
66,9.15801191329956,
67,9.33980107307434,
68,9.135256052017212,
69,9.419834852218628,
70,9.16728401184082,
71,9.31154990196228,
72,14.319169044494629,
73,14.129525899887085,
74,14.246116876602173,
75,14.195266723632812,
76,14.142004013061523,
77,14.209816217422485,
78,14.123394012451172,
79,14.16354489326477,
80,14.20260214805603,
81,14.166903972625732,
82,14.206218004226685,
83,14.202720880508423,
84,14.246214866638184,
85,14.151628017425537,
86,14.250931024551392,
87,14.18638014793396,
88,13.969456195831299,
89,13.936501026153564,
90,14.196311950683594,
91,14.13070297241211,
92,14.065230131149292,
93,14.012423992156982,
94,14.000767946243286,
95,14.114155054092407,
96,14.1147620677948,
97,14.172116041183472,
98,14.048428058624268,
99,13.967137098312378,
100,14.018341779708862,
101,14.09330677986145,
102,14.097631216049194,
103,14.080713033676147,
104,14.055999994277954,
105,14.163146018981934,
106,14.031944036483765,
107,14.062671184539795,
108,14.073354959487915,
109,14.155864000320435,
110,14.032281875610352,
111,13.986599206924438,
112,14.090362071990967,
113,14.115351915359497,
114,14.008729934692383,
115,13.998465061187744,
116,14.217631101608276,
117,14.083679914474487,
118,14.018978118896484,
119,14.064054012298584,
120,14.130358695983887,
121,14.048140048980713,
122,14.049333095550537,
123,14.084105968475342,
124,14.141058206558228,
125,14.126045942306519,
126,14.042840003967285,
127,14.017939329147339,
128,14.077575922012329,
129,14.227150201797485,
130,14.069914817810059,
131,13.979233980178833,
132,14.12258005142212,
133,14.11413288116455,
134,14.030239820480347,
135,13.9757719039917,
136,14.242228984832764,
137,14.06613302230835,
138,13.92771291732788,
139,14.051759004592896,
140,14.09562873840332,
141,20.808629035949707,
142,20.772568941116333,
143,20.65235471725464,
144,20.83147406578064,
145,20.78532123565674,
146,20.72136116027832,
147,20.76805806159973,
148,20.79092788696289,
149,20.645604848861694,
150,20.840314149856567,
151,20.783671140670776,
152,20.66593313217163,
153,20.75038504600525,
154,20.796828985214233,
155,20.69129705429077,
156,20.8002769947052,
157,20.876420974731445,
158,20.7237389087677,
159,20.773260831832886,
160,20.759984254837036,
161,20.716503858566284,
162,20.760061264038086,
163,20.854287147521973,
164,20.74561905860901,
165,20.741968870162964,
166,20.7410671710968,
