Epochs,learning_rate
0,0.1
1,0.1
2,0.06999999999999999
3,0.048999999999999995
4,0.0343
5,0.024009999999999997
6,0.016806999999999996
7,0.011764899999999997
8,0.008235429999999997
9,0.005764800999999997
10,0.004035360699999998
11,0.0028247524899999983
12,0.0019773267429999985
13,0.0013841287200999988
14,0.0009688901040699991
15,0.0006782230728489993
16,0.0004747561509942995
17,0.0003323293056960096
18,0.0002326305139872067
19,0.00016284135979104466
20,0.00011398895185373126
21,7.979226629761188e-05
22,5.5854586408328306e-05
