Epochs,learning_rate
0,0.1
1,0.1
2,0.06999999999999999
3,0.048999999999999995
4,0.0343
5,0.024009999999999997
6,0.016806999999999996
7,0.011764899999999997
8,0.008235429999999997
9,0.005764800999999997
10,0.004035360699999998
11,0.0028247524899999983
12,0.0019773267429999985
13,0.1
14,0.06999999999999999
15,0.048999999999999995
16,0.0343
17,0.024009999999999997
18,0.016806999999999996
19,0.011764899999999997
20,0.008235429999999997
21,0.005764800999999997
22,0.004035360699999998
23,0.0028247524899999983
24,0.0019773267429999985
25,0.0013841287200999988
26,0.0009688901040699991
27,0.0006782230728489993
28,0.0004747561509942995
29,0.0003323293056960096
30,0.0002326305139872067
31,0.00016284135979104466
32,0.00011398895185373126
33,7.979226629761188e-05
34,5.5854586408328306e-05
35,3.909821048582981e-05
