Epochs,Normal Epoch Times,PAI Epoch Times
0,60.19568419456482,
1,52.50679349899292,
2,50.75012803077698,
3,51.83493709564209,
4,53.13528800010681,
5,73.12513828277588,
6,81.50942969322205,
7,76.16243243217468,
8,77.10861992835999,
9,86.19587278366089,
10,70.60939764976501,
11,78.64752292633057,
12,85.44027185440063,
13,74.13876271247864,
14,78.42874336242676,
15,79.54787945747375,
16,77.12599444389343,
17,78.83463859558105,
18,76.19243240356445,
19,86.57528758049011,
20,77.02268815040588,
21,80.2857141494751,
22,86.85659646987915,
23,63.58346962928772,
24,84.47796845436096,
25,76.15592861175537,
26,81.42034554481506,
27,76.76919960975647,
28,80.85003447532654,
29,69.27661371231079,
30,89.89587616920471,
31,85.58874297142029,
32,78.51645350456238,
33,85.69180250167847,
34,78.88075160980225,
35,79.72378826141357,
36,88.7050712108612,
37,83.19586706161499,
38,78.60394072532654,
39,82.97731876373291,
40,81.46307325363159,
41,75.57674860954285,
42,77.28092193603516,
43,79.93780183792114,
44,65.31789946556091,
45,59.72438073158264,
46,58.937387228012085,
47,55.726601362228394,
48,76.56550621986389,
49,88.75779795646667,
50,72.42090106010437,
51,80.53165054321289,
52,81.7373776435852,
53,78.86463165283203,
54,82.30528569221497,
55,81.49278998374939,
56,84.93822908401489,
57,81.17564535140991,
58,80.53885698318481,
59,70.69411897659302,
60,83.45035433769226,
61,84.04046535491943,
62,139.0712971687317,
63,135.97004079818726,
64,101.48289799690247,
65,65.97533822059631,
66,63.6864697933197,
67,62.03340172767639,
68,103.10843825340271,
69,131.31016325950623,
70,131.1298544406891,
71,133.49084973335266,
72,130.1627972126007,
73,134.98002672195435,
74,131.87993454933167,
75,83.55375957489014,
76,64.86806082725525,
77,57.41910457611084,
78,55.91761255264282,
79,56.7743022441864,
80,55.04082202911377,
81,49.04590582847595,
82,100.80172300338745,
