Epochs,Normal Epoch Times,PAI Epoch Times
0,40.43706917762756,
1,32.07540845870972,
2,32.518903732299805,
3,31.893462657928467,
4,34.243191719055176,
5,32.161073207855225,
6,32.175214767456055,
7,33.56754398345947,
8,35.65239500999451,
9,34.283960580825806,
10,33.64639449119568,
11,34.955326080322266,
12,34.977389335632324,
13,36.496047019958496,
14,36.534661293029785,
15,37.79947304725647,
16,34.73592805862427,
17,34.61863660812378,
18,33.683066606521606,
19,33.896347522735596,
20,33.984211444854736,
21,33.8476824760437,
22,34.742116928100586,
23,34.84106802940369,
24,35.61604905128479,
25,37.61840081214905,
26,394.89919805526733,
27,49.812091588974,
28,49.543853759765625,
29,49.97697186470032,
30,52.254029750823975,
31,50.71611499786377,
32,50.271294593811035,
33,49.924771547317505,
34,49.453179359436035,
35,49.89658546447754,
36,60.567179918289185,
37,50.59392285346985,
38,50.03041100502014,
39,50.349931955337524,
40,50.190884590148926,
41,51.53135657310486,
42,50.54543137550354,
43,50.80773591995239,
44,50.19383215904236,
45,49.603031873703,
46,50.40364408493042,
47,50.80846333503723,
48,50.1965115070343,
49,50.251198053359985,
50,49.83538866043091,
51,50.518975019454956,
