Wall time,Step,Value
1768405428.4663427,0,-140.07679748535156
1768405529.3636074,1,-20.64500617980957
1768405547.0305276,2,33.76292037963867
1768405550.5616572,3,52.666542053222656
1768405588.0600085,4,75.23556518554688
1768405603.2216434,5,87.64930725097656
1768405615.8502455,6,95.96038818359375
1768405629.5235088,7,102.59342956542969
1768405637.0702546,8,105.66777801513672
1768405646.048492,9,109.61945343017578
1768405651.836337,10,135.96749877929688
1768405661.5531814,11,139.69570922851562
1768405679.4238677,12,139.47903442382812
1768405694.0452971,13,145.40444946289062
1768405697.9267528,14,140.32058715820312
1768405711.5994473,15,140.07052612304688
1768405720.261969,16,139.97837829589844
1768405733.3215477,17,137.58425903320312
1768405749.5537925,18,139.0435333251953
1768405763.5673487,19,137.90406799316406
1768405772.7186117,20,138.4852294921875
1768405798.9764173,21,137.3936004638672
1768405810.4970572,22,138.4521026611328
1768405818.6819139,23,135.72647094726562
1768405822.417128,24,135.75245666503906
1768405832.1899252,25,136.02737426757812
1768405845.1268632,26,137.7947998046875
1768405854.0815,27,139.76568603515625
1768405860.0307896,28,137.99916076660156
1768405868.3734498,29,137.87754821777344
1768405879.5639024,30,139.43267822265625
1768405882.8243346,31,137.90773010253906
1768405893.392756,32,138.23797607421875
1768405898.7192986,33,136.80361938476562
1768405907.8578565,34,139.24655151367188
1768405915.724263,35,137.91143798828125
1768405929.6151412,36,138.14236450195312
1768405939.6830912,37,138.3064727783203
1768405944.0560765,38,136.9195556640625
1768405953.035002,39,137.2552947998047
1768405964.373011,40,137.39862060546875
1768405973.3185894,41,140.1909637451172
1768405979.4884377,42,137.7162628173828
1768405987.7782202,43,138.08187866210938
1768405997.3370073,44,138.47251892089844
1768406011.927343,45,140.8324432373047
1768406020.2173374,46,138.2897186279297
1768406033.6497397,47,139.33096313476562
1768406044.536559,48,143.4302215576172
1768406052.3398628,49,142.24659729003906
1768406058.0271516,50,140.35377502441406
1768406068.0762677,51,139.39878845214844
1768406081.356677,52,141.66500854492188
1768406089.943157,53,142.56370544433594
1768406104.0424829,54,143.7431182861328
1768406114.1128428,55,142.39462280273438
1768406121.4482255,56,141.0420379638672
1768406132.3263562,57,138.6667022705078
1768406138.848437,58,134.4632110595703
1768406141.3529577,59,132.86819458007812
1768406150.0896943,60,133.6925048828125
1768406155.271832,61,132.82489013671875
1768406166.3075492,62,132.2831573486328
1768406169.1043956,63,129.38890075683594
1768406177.3851824,64,127.29064178466797
1768406187.3096588,65,125.87770080566406
1768406197.0412757,66,127.66463470458984
1768406204.3673532,67,126.37936401367188
1768406212.0305576,68,127.70421600341797
1768406219.1486154,69,130.24929809570312
1768406226.4510732,70,128.8639678955078
1768406233.3031034,71,129.3235626220703
1768406240.7979994,72,127.58516693115234
1768406250.6967828,73,130.48135375976562
1768406259.9512284,74,131.09718322753906
1768406270.668083,75,133.1813507080078
1768406280.0471938,76,132.7530517578125
1768406293.9768884,77,136.5543212890625
1768406422.4246428,78,72.75940704345703
1768406431.0650647,79,72.69881439208984
1768406442.7257445,80,74.95410919189453
1768406447.732016,81,75.03402709960938
1768406455.0660357,82,74.23634338378906
1768406462.6143696,83,71.25942993164062
1768406476.045128,84,73.20404815673828
1768406480.8954048,85,69.55567169189453
1768406488.76224,86,69.23067474365234
1768406495.3362098,87,66.86902618408203
1768406510.5002162,88,133.5921630859375
1768406514.3972068,89,132.20912170410156
1768406520.356035,90,130.30210876464844
