Wall time,Step,Value
1768400242.55323,0,-117.00373840332031
1768400268.724221,1,-126.65646362304688
1768400286.5914562,2,-105.69560241699219
1768400316.2778792,3,-130.86270141601562
1768400339.7772975,4,-132.5897979736328
1768400362.5037932,5,-134.66302490234375
1768400381.7808118,6,-136.35118103027344
1768400400.699438,7,-137.5930633544922
1768400457.9885693,8,-105.4670181274414
1768400497.6249638,9,-84.1823959350586
1768400585.6874337,10,-60.150508880615234
1768400680.635166,11,-33.409732818603516
1768400727.3858986,12,-12.924700736999512
1768400733.637939,13,19.44964027404785
1768400749.5537534,14,47.244140625
1768400763.7240403,15,76.08910369873047
1768400780.8977683,16,105.43296813964844
1768400793.0039294,17,133.05088806152344
1768400807.1752489,18,131.65892028808594
1768400817.7398028,19,134.81875610351562
1768400829.0626652,20,136.20933532714844
1768400843.709534,21,136.7554931640625
1768400852.8188524,22,135.80596923828125
1768400880.9197857,23,139.79159545898438
1768400894.1817496,24,139.81301879882812
1768400906.6071603,25,140.804931640625
1768400919.982561,26,142.0173797607422
1768400928.1056442,27,142.40171813964844
1768400931.1928685,28,139.73434448242188
1768400943.027154,29,140.82029724121094
1768400952.921342,30,141.99864196777344
1768400959.6500657,31,141.41122436523438
1768400967.5111678,32,141.77890014648438
1768400976.74773,33,140.56790161132812
1768400988.3833506,34,142.60324096679688
1768400994.1593726,35,139.03114318847656
1768401000.5701222,36,134.27488708496094
1768401006.345126,37,132.70980834960938
1768401015.7677047,38,135.7863311767578
1768401025.2190745,39,131.61293029785156
1768401040.8612895,40,132.01876831054688
1768401052.839914,41,133.24488830566406
1768401062.5522346,42,133.9761962890625
1768401069.9163618,43,132.3973388671875
1768401079.3522766,44,131.03054809570312
1768401093.0910974,45,136.40377807617188
1768401095.07851,46,135.7665557861328
1768401104.3505003,47,137.41848754882812
1768401113.4606907,48,137.71888732910156
1768401122.2545211,49,140.92410278320312
1768401133.1378918,50,139.3675994873047
1768401143.5070345,51,138.93460083007812
1768401148.9857974,52,136.9517059326172
1768401159.0082006,53,137.93849182128906
1768401167.8202965,54,137.43450927734375
1768401180.5607345,55,135.36439514160156
1768401187.2899573,56,137.7236328125
1768401199.5553575,57,140.5522003173828
1768401211.662931,58,141.40370178222656
1768401220.2970264,59,141.52235412597656
1768401226.3883152,60,140.03851318359375
1768401236.5674546,61,139.9815673828125
1768401245.837521,62,141.53627014160156
1768401250.038558,63,138.2891845703125
1768401257.72031,64,137.6228485107422
1768401263.3589144,65,134.7784881591797
1768401272.310047,66,136.39927673339844
1768401281.2270942,67,134.10728454589844
1768401290.6199708,68,133.3347625732422
1768401299.855528,69,133.45957946777344
1768401310.066581,70,135.349609375
1768401317.3983283,71,135.20040893554688
1768401328.7212987,72,137.02565002441406
1768401340.8269706,73,142.15328979492188
1768401350.721194,74,142.9127960205078
1768401360.7747915,75,145.06735229492188
1768401368.9320083,76,143.5658416748047
1768401380.0942311,77,144.6229248046875
1768401390.2721057,78,144.24488830566406
1768401402.37885,79,146.12548828125
1768401409.2666054,80,145.25521850585938
1768401426.4419074,81,148.17408752441406
1768401437.006482,82,146.51673889160156
1768401447.059474,83,145.34457397460938
1768401456.794313,84,145.50778198242188
1768401468.420452,85,145.9784698486328
1768401480.2107506,86,146.75997924804688
1768401483.7736475,87,142.83547973632812
1768401489.5493982,88,140.58905029296875
1768401498.819897,89,137.18429565429688
1768401508.0906644,90,137.320556640625
1768401519.7433724,91,135.21896362304688
1768401535.2280116,92,136.22450256347656
1768401542.2524529,93,134.53038024902344
1768401549.1406066,94,133.3155517578125
