Wall time,Step,Value
1768411231.6900504,0,-157.2332000732422
1768411255.4793372,1,164.1246795654297
1768411277.4548607,2,-116.52049255371094
1768411321.3623629,3,-122.80365753173828
1768411338.9179463,4,-152.7728729248047
1768411360.8652604,5,-166.71945190429688
1768411378.14447,6,-148.14700317382812
1768411383.2836566,7,124.55412292480469
1768411535.4534438,8,-28.835622787475586
1768411571.8353095,9,131.70773315429688
1768411587.7179925,10,126.44470977783203
1768411628.5277042,11,142.85499572753906
1768411654.2703936,12,103.34969329833984
1768411671.456161,13,144.24790954589844
1768411676.8907251,14,124.76870727539062
1768411694.1248329,15,129.25852966308594
1768411711.1553524,16,146.25054931640625
1768411720.9025161,17,125.84687805175781
1768411739.042989,18,161.5292510986328
1768411750.9675384,19,115.435302734375
1768411766.7257462,20,145.392822265625
1768411778.9679682,21,156.1779327392578
1768411791.8915937,22,144.15713500976562
1768411801.9551926,23,123.5480728149414
1768411812.518574,24,144.10113525390625
1768411822.7301214,25,138.19862365722656
1768411832.1243026,26,122.14520263671875
1768411841.3619313,27,133.62466430664062
1768411852.8776824,28,131.99754333496094
1768411864.55131,29,156.59152221679688
1768411875.7144105,30,147.7431182861328
1768411886.8437507,31,135.96249389648438
1768411897.3389359,32,140.00637817382812
1768411909.3080332,33,128.2947540283203
1768411917.3213322,34,141.46534729003906
1768411921.8478975,35,115.53287506103516
1768411934.8844702,36,152.66665649414062
1768411952.6650162,37,146.9369354248047
1768411955.7518775,38,113.21610260009766
1768411964.5461662,39,136.54965209960938
1768411970.1861842,40,124.86405181884766
1768411978.5049582,41,141.24267578125
1768411983.9830098,42,120.01239776611328
1768411991.1643126,43,135.79953002929688
1768412002.9310787,44,135.61729431152344
1768412010.9294956,45,142.64524841308594
1768412014.6229308,46,114.99693298339844
1768412027.3657165,47,143.93666076660156
1768412037.7347503,48,136.58889770507812
1768412047.4816995,49,141.1761016845703
1768412060.2614255,50,161.23350524902344
1768412072.5382023,51,153.6156463623047
1768412082.1260061,52,147.42510986328125
1768412090.6239917,53,134.4654998779297
1768412101.3096333,54,152.08592224121094
1768412115.6166468,55,159.6685333251953
1768412123.7996705,56,139.18394470214844
1768412127.3730493,57,112.12596893310547
1768412137.8687568,58,145.9919891357422
1768412139.2202184,59,104.29269409179688
1768412150.066984,60,140.4269561767578
1768412158.5402465,61,118.9012451171875
1768412165.5647357,62,123.88056945800781
1768412175.1630085,63,139.10366821289062
1768412185.186742,64,144.91873168945312
1768412195.081071,65,137.6242218017578
1768412209.1272943,66,166.0923309326172
1768412215.8561099,67,129.48451232910156
1768412226.4207551,68,152.40464782714844
1768412235.215625,69,143.5711212158203
1768412250.5438254,70,159.9839630126953
1768412260.4720914,71,145.03384399414062
1768412270.6827796,72,144.1133575439453
1768412277.0606127,73,131.22836303710938
1768412289.6441212,74,145.4469451904297
1768412294.4793844,75,119.77136993408203
1768412298.3599079,76,114.68550872802734
1768412313.132567,77,168.8192901611328
1768412322.2432306,78,146.60244750976562
1768412334.8613725,79,150.10072326660156
1768412347.128118,80,157.92501831054688
1768412357.8502653,81,151.49697875976562
1768412362.1732266,82,105.79875946044922
1768412374.8921075,83,150.9049530029297
1768412386.7186067,84,148.03594970703125
1768412394.8773975,85,142.46910095214844
1768412402.7190597,86,123.50062561035156
1768412410.8771443,87,129.1099395751953
1768412421.5636868,88,155.68336486816406
1768412428.1124601,89,117.53032684326172
1768412431.1997936,90,113.08092498779297
1768412439.3818867,91,138.42276000976562
1768412448.0151286,92,126.88191986083984
1768412460.451046,93,161.9959259033203
1768412467.1798894,94,133.99658203125
1768412480.4423678,95,141.8212127685547
1768412493.5246818,96,137.34918212890625
1768412499.7786922,97,116.3410873413086
1768412514.9231522,98,163.45526123046875
1768412520.995557,99,128.169677734375
1768412529.9711537,100,133.8196258544922
1768412541.626074,101,159.59475708007812
1768412551.5540943,102,140.43341064453125
1768412559.7349555,103,122.29060363769531
1768412565.353582,104,125.02873229980469
1768412575.9189532,105,144.94100952148438
1768412586.128329,106,152.98236083984375
1768412596.781161,107,149.13095092773438
1768412602.8526342,108,129.23886108398438
1768412612.9057267,109,133.3497314453125
1768412616.6404166,110,104.48063659667969
1768412628.9523273,111,150.6116485595703
1768412640.1154046,112,143.93643188476562
1768412652.1972451,113,148.90701293945312
1768412662.3754635,114,123.80846405029297
1768412668.0162127,115,107.21141052246094
1768412673.9720433,116,128.4031524658203
1768412677.9772449,117,113.17326354980469
1768412688.4737525,118,144.94003295898438
1768412698.4009275,119,146.78106689453125
1768412706.8988886,120,134.14581298828125
1768412721.2503176,121,143.45872497558594
1768412729.569686,122,142.21719360351562
1768412741.5389047,123,148.4091339111328
1768412748.597515,124,126.62604522705078
1768412754.874641,125,126.30367279052734
1768412757.6557238,126,110.16883850097656
1768412768.2198856,127,145.72071838378906
1768412778.4445753,128,137.9056396484375
1768412790.1081564,129,152.59823608398438
1768412803.517168,130,157.84121704101562
1768412813.2304506,131,143.77748107910156
1768412822.6666865,132,129.809814453125
1768412835.9189155,133,152.47857666015625
1768412848.8656392,134,146.38455200195312
1768412854.3349347,135,124.77540588378906
1768412863.9471092,136,133.67095947265625
1768412875.872861,137,135.47613525390625
1768412890.3609538,138,162.57627868652344
1768412905.4838943,139,158.12301635742188
1768412912.869367,140,135.0174560546875
1768412917.8291202,141,113.75471496582031
1768412929.3398032,142,135.50115966796875
1768412942.5347877,143,163.39305114746094
1768412952.759299,144,147.66781616210938
1768412965.9759433,145,149.470947265625
1768412973.6571474,146,110.70531463623047
