Epochs,Normal Epoch Times,PAI Epoch Times
0,1.668043851852417,
1,0.9120209217071533,
2,0.919154167175293,
3,1.3989944458007812,
4,1.075587511062622,
5,0.9667725563049316,
6,0.9631118774414062,
7,0.9594419002532959,
8,1.0723974704742432,
9,0.9361672401428223,
10,0.9432382583618164,
11,0.9285409450531006,
12,1.0417962074279785,
13,0.9169588088989258,
14,0.9676303863525391,
15,0.9729135036468506,
16,1.0088953971862793,
17,1.0652060508728027,
18,1.1966402530670166,
19,1.168893575668335,
20,1.0976386070251465,
21,1.1560282707214355,
22,1.277228593826294,
23,1.3194565773010254,
24,1.1026735305786133,
25,1.2808265686035156,
26,1.5268752574920654,
27,1.2346949577331543,
28,1.1627731323242188,
29,1.0802388191223145,
30,1.282120943069458,
31,1.1227431297302246,
32,1.1423499584197998,
33,1.3732349872589111,
