Epochs,Validation Scores,Validation Running Scores
0,0.6175548589341693,
1,0.638602776533811,
2,0.6430810568741603,
3,0.6484549932825795,
4,0.645320197044335,
5,0.64576802507837,
6,0.64576802507837,
7,0.6524854455888939,
8,0.6489028213166145,
9,0.651141961486789,
10,0.6484549932825795,
11,0.6435288849081953,
12,0.6529332736229287,
13,0.6551724137931034,
14,0.6493506493506493,
15,0.6560680698611733,
16,0.6497984773846843,
17,0.6551724137931034,
18,0.6480071652485445,
19,0.64576802507837,
20,0.6574115539632781,
21,0.6462158531124048,
22,0.6430810568741603,
23,0.6533811016569637,
24,0.64576802507837,
25,0.6502463054187192,
26,0.6502463054187192,
27,0.6520376175548589,
28,0.6471115091804747,
29,0.651141961486789,
30,0.6542767577250336,
31,0.6529332736229287,
32,0.6547245857590686,
33,0.6524854455888939,
34,0.6533811016569637,
35,0.6524854455888939,
36,0.6533811016569637,
37,0.6520376175548589,
38,0.6524854455888939,
39,0.651589789520824,
40,0.651589789520824,
41,0.6520376175548589,
42,0.6524854455888939,
43,0.651141961486789,
44,0.651141961486789,
45,0.651141961486789,
46,0.651141961486789,
47,0.651141961486789,
0,,0.6175548589341693
1,,0.638602776533811
2,,0.6430810568741603
3,,0.6484549932825795
4,,0.645320197044335
5,,0.64576802507837
6,,0.64576802507837
7,,0.6524854455888939
8,,0.6489028213166145
9,,0.651141961486789
10,,0.6484549932825795
11,,0.6435288849081953
12,,0.6529332736229287
13,,0.6551724137931034
14,,0.6493506493506493
15,,0.6560680698611733
16,,0.6497984773846843
17,,0.6551724137931034
18,,0.6480071652485445
19,,0.64576802507837
20,,0.6574115539632781
21,,0.6462158531124048
22,,0.6430810568741603
23,,0.6533811016569637
24,,0.64576802507837
25,,0.6502463054187192
26,,0.6502463054187192
27,,0.6520376175548589
28,,0.6471115091804747
29,,0.651141961486789
30,,0.6542767577250336
31,,0.6529332736229287
32,,0.6547245857590686
33,,0.6524854455888939
34,,0.6533811016569637
35,,0.6524854455888939
36,,0.6533811016569637
37,,0.6520376175548589
38,,0.6524854455888939
39,,0.651589789520824
40,,0.651589789520824
41,,0.6520376175548589
42,,0.6524854455888939
43,,0.651141961486789
44,,0.651141961486789
45,,0.651141961486789
46,,0.651141961486789
47,,0.651141961486789
