Epochs,Validation Scores,Validation Running Scores
0,0.6426332288401254,
1,0.6466636811464398,
2,0.6412897447380206,
3,0.6350201522615315,
4,0.6475593372145096,
5,0.6502463054187192,
6,0.6551724137931034,
7,0.6493506493506493,
8,0.651589789520824,
9,0.6426332288401254,
10,0.6466636811464398,
11,0.6533811016569637,
12,0.651589789520824,
13,0.6533811016569637,
14,0.6475593372145096,
15,0.6556202418271384,
16,0.6489028213166145,
17,0.6444245409762651,
18,0.651589789520824,
19,0.6502463054187192,
20,0.6520376175548589,
21,0.6471115091804747,
22,0.6489028213166145,
23,0.6448723690103001,
24,0.6462158531124048,
25,0.6444245409762651,
26,0.6542767577250336,
27,0.6462158531124048,
28,0.6542767577250336,
29,0.6497984773846843,
30,0.6497984773846843,
31,0.6524854455888939,
32,0.6506941334527542,
33,0.651141961486789,
0,,0.6426332288401254
1,,0.6466636811464398
2,,0.6412897447380206
3,,0.6350201522615315
4,,0.6475593372145096
5,,0.6502463054187192
6,,0.6551724137931034
7,,0.6493506493506493
8,,0.651589789520824
9,,0.6426332288401254
10,,0.6466636811464398
11,,0.6533811016569637
12,,0.651589789520824
13,,0.6533811016569637
14,,0.6475593372145096
15,,0.6556202418271384
16,,0.6489028213166145
17,,0.6444245409762651
18,,0.651589789520824
19,,0.6502463054187192
20,,0.6520376175548589
21,,0.6471115091804747
22,,0.6489028213166145
23,,0.6448723690103001
24,,0.6462158531124048
25,,0.6444245409762651
26,,0.6542767577250336
27,,0.6462158531124048
28,,0.6542767577250336
29,,0.6497984773846843
30,,0.6497984773846843
31,,0.6524854455888939
32,,0.6506941334527542
33,,0.651141961486789
