Epochs,Validation Scores,Validation Running Scores
0,3.595217799464398e-05,
1,0.0007958509967917011,
2,0.0007748199404164405,
3,0.02025885946078031,
4,0.01822411215136952,
5,0.02730079606005472,
6,0.04094777531657081,
7,0.03154622750927035,
8,0.0602259879332727,
9,0.04197390345879253,
10,0.07580702991017693,
11,0.07130805476847177,
12,0.07877384120409114,
13,0.055414291488181625,
14,0.0658395419293467,
15,0.10076233256835299,
16,0.08332203479087791,
17,0.1133737021796005,
18,0.10917341381224858,
19,0.10422055834848791,
20,0.10734245803732015,
21,0.1275173082638651,
22,0.17538005070984902,
23,0.1035352483519038,
24,0.13137967089112573,
25,0.16247488414995112,
26,0.1486024359651455,
27,0.13908093693198006,
28,0.20422510482505837,
29,0.17353342135526406,
30,0.1622509638673534,
31,0.1513985218073642,
32,0.22436063264574532,
33,0.22477361964119388,
34,0.20690940461467391,
35,0.21018228361519573,
36,0.21075009795180838,
37,0.22519969378093013,
38,0.22484158874897867,
39,0.2355953954237576,
40,0.22039349112641055,
41,0.24255983191459088,
42,0.23218827993877084,
43,0.22550432947053417,
44,0.22625292849482018,
45,0.20308590402779797,
46,0.25642918132716563,
47,0.240391574241723,
48,0.28352125883972223,
49,0.26310417932966274,
50,0.1989895042854996,
51,0.25648113795124655,
52,0.2786874671947202,
53,0.2291997396213071,
54,0.2864920546790114,
55,0.2543465097386902,
56,0.2979842977778028,
57,0.2979241299944112,
58,0.3064304810833808,
59,0.2963190259396236,
60,0.23431994434931597,
61,0.27419376722865907,
62,0.2313832762023123,
63,0.28079195052610184,
64,0.28440583007651965,
65,0.41260943377922504,
66,0.42273549753775236,
67,0.429611316415839,
68,0.4315807477544099,
69,0.43104049290074825,
70,0.43409472011452566,
71,0.4349893552579941,
72,0.4376723169128748,
73,0.4387186897804628,
74,0.43847794338037904,
75,0.44371426083213183,
76,0.44207906885609677,
77,0.4387677614050697,
78,0.4436886028898378,
79,0.4399927642324653,
80,0.4425396122752726,
81,0.43988664855207726,
82,0.44454446691680144,
83,0.4454157463234373,
84,0.4459899239618391,
85,0.4459738256520772,
86,0.44772563384177133,
87,0.4492501657334952,
88,0.4480654117060216,
89,0.4492020443550275,
90,0.4490079876237013,
91,0.44818892799920845,
92,0.4475184804468936,
93,0.45001393590230804,
94,0.4494485951406865,
95,0.44997881756047226,
96,0.45096014952809116,
97,0.4507423806786086,
98,0.4517343532432899,
99,0.45342267919690393,
100,0.4531035617189875,
101,0.45332632280853835,
102,0.45401424119318345,
103,0.1457428486897551,
104,0.22377232786857976,
105,0.19329036637806873,
106,0.2066793561410211,
107,0.23647944966915674,
108,0.26586208022910884,
109,0.22121470572421126,
110,0.26662171805822416,
111,0.2872545907738918,
112,0.29235406721973184,
113,0.24496976787145455,
114,0.2594854369813083,
115,0.3143985229530429,
116,0.2782583362162855,
117,0.2608330022936491,
118,0.2633790068659193,
119,0.22336099707289048,
120,0.25253172419631775,
121,0.26606950640562665,
122,0.4114936664995863,
123,0.4295793892212786,
124,0.4420488623945862,
125,0.44568116954601644,
126,0.4448935538552317,
127,0.4431360625454216,
128,0.4468684110938657,
129,0.44783155802482666,
130,0.4461477348888122,
131,0.45185633599564845,
132,0.44706788467816505,
133,0.45509865157527907,
134,0.4530289660472871,
135,0.45053588330772404,
136,0.45807767816155753,
137,0.45852225982969463,
138,0.45439453552475007,
139,0.45042928107221486,
140,0.45446345673204275,
141,0.4546602169382562,
142,0.45426330895710987,
143,0.4542682052582757,
144,0.45697765656493494,
145,0.4569724716565921,
146,0.45646063600925624,
147,0.45668000628267713,
148,0.4572943108928281,
149,0.4579331664675751,
150,0.45825820416236923,
151,0.45745813569082666,
152,0.45706273740978515,
153,0.4570601028255453,
154,0.4577768869808737,
155,0.45750688354780883,
156,0.4586842812500861,
157,0.4585553818526627,
158,0.4578400201532773,
159,0.4585002867002027,
160,0.45846845746568504,
161,0.4577905195578462,
162,0.45787310128899056,
163,0.45672343263883,
164,0.45787751016029404,
165,0.4582510731727334,
166,0.4588470716490921,
167,0.45772767899486694,
168,0.4584769210145758,
169,0.45872648937170785,
170,0.45917470606805877,
171,0.4519668713612348,
172,0.45758110704128174,
173,0.45441280822695507,
174,0.4598444860789256,
175,0.45393550312836217,
176,0.4598588735152803,
177,0.4549518070921019,
178,0.4573394399124144,
179,0.4612328024250412,
180,0.4626950832558106,
181,0.45523509936722484,
182,0.45800480640900343,
183,0.4557757888064269,
184,0.45784411175320877,
185,0.45252390660026853,
186,0.4597014877126745,
0,,1.1990725998214658e-05
1,,0.0002732774829293768
2,,0.0004404583020917314
3,,0.00704659202165459
4,,0.010772432064892902
5,,0.01628188672994684
6,,0.024503849592154833
7,,0.026851308897860006
8,,0.037976201909664234
9,,0.039308769092707
10,,0.05147485603186365
11,,0.05808592227739969
12,,0.06498189525296351
13,,0.06179269399803622
14,,0.06314164330847305
15,,0.07568187306176635
16,,0.07822859363813688
17,,0.08994362981862475
18,,0.09635355781649936
19,,0.09897589132716222
20,,0.10176474689721487
21,,0.11034893401943162
22,,0.1320259729162374
23,,0.1225290647281262
24,,0.1254792667824594
25,,0.13781113923828997
26,,0.14140823814724182
27,,0.1406324710754879
28,,0.16183001565867805
29,,0.1657311508908734
30,,0.16457108854970007
31,,0.16018023296892145
32,,0.18157369952786273
33,,0.19597367289897313
34,,0.19961891680420674
35,,0.20314003907453643
36,,0.2056767253669604
37,,0.21218438150495034
38,,0.21640345058629312
39,,0.22280076553211461
40,,0.22199834073021327
41,,0.22885217112500583
42,,0.22996420739626083
