Epochs,Normal Epoch Times,PAI Epoch Times
0,51.7628333568573,
1,24.573472499847412,
2,17.188104152679443,
3,19.960201740264893,
4,22.07405185699463,
5,20.310861825942993,
6,16.90627908706665,
7,19.307410955429077,
8,17.28389000892639,
9,18.951245546340942,
10,17.151261568069458,
11,17.765226364135742,
12,18.080723762512207,
13,17.184447765350342,
14,16.357821464538574,
15,16.603161573410034,
16,17.32801342010498,
17,16.590877056121826,
18,16.747371196746826,
19,17.47805166244507,
20,16.077913284301758,
21,16.863548040390015,
22,16.84282422065735,
23,17.002097845077515,
24,17.33816409111023,
25,16.729279041290283,
26,17.448311805725098,
27,17.395212173461914,
28,16.70196008682251,
29,17.561460256576538,
30,16.937049388885498,
31,16.796693563461304,
32,16.847078561782837,
33,16.36146306991577,
34,17.423139095306396,
35,16.611052751541138,
36,16.8315327167511,
37,15.948076725006104,
38,16.549030303955078,
39,16.738600730895996,
40,16.37855315208435,
41,16.171586275100708,
42,16.055419445037842,
43,15.852578163146973,
44,17.031641721725464,
45,15.715776443481445,
46,16.26233410835266,
47,16.25419044494629,
48,16.578455686569214,
49,17.428656101226807,
50,16.60197687149048,
51,17.132493495941162,
52,15.914567947387695,
53,16.338165044784546,
54,16.43611478805542,
55,17.103426694869995,
56,17.030158519744873,
57,16.758387804031372,
58,16.13734197616577,
59,16.30786156654358,
60,16.301745414733887,
61,15.946656465530396,
62,15.585861206054688,
63,15.898952960968018,
64,16.433576107025146,
65,16.250553131103516,
66,16.317983150482178,
67,16.68971037864685,
68,16.905752897262573,
69,16.342709064483643,
70,16.184616088867188,
71,17.283050537109375,
72,16.640167474746704,
73,17.24472141265869,
74,16.48491406440735,
75,16.446932792663574,
76,16.99817991256714,
77,15.76801085472107,
78,15.764315843582153,
79,16.36482524871826,
80,15.759516477584839,
81,16.59096622467041,
82,16.533142566680908,
83,16.204625844955444,
84,16.844411373138428,
85,16.011171102523804,
86,15.83711552619934,
87,16.00281071662903,
88,16.75975465774536,
89,16.320180892944336,
90,16.423988103866577,
91,16.52867865562439,
92,15.428927898406982,
93,15.726413011550903,
94,16.98506999015808,
95,15.549700021743774,
96,16.615045070648193,
97,16.82427740097046,
98,16.83742642402649,
99,16.030006170272827,
100,16.562955617904663,
101,15.921671628952026,
102,15.962864875793457,
103,24.345588207244873,
104,24.073025465011597,
105,25.487401962280273,
106,24.333948612213135,
107,24.714226961135864,
108,25.279401063919067,
109,24.0389301776886,
110,24.024569749832153,
111,24.92222499847412,
