Epochs,Validation Scores,Validation Running Scores,Train Accuracy
0,77.9986962190352,,
1,81.1929595827901,,
2,82.59452411994785,,
0,,77.9986962190352,
1,,81.1929595827901,
2,,82.59452411994785,
0,,,65.86260288485046
1,,,79.7734495966099
2,,,85.37201532067476
