Epochs,learning_rate
0,5e-05
1,5e-05
2,5e-05
3,5e-05
4,5e-05
5,5e-05
6,5e-05
7,5e-05
8,5e-05
9,5e-05
10,5e-05
11,5e-05
12,5e-05
13,2.5e-05
14,2.5e-05
15,2.5e-05
16,2.5e-05
17,2.5e-05
18,2.5e-05
19,1.25e-05
20,1.25e-05
21,1.25e-05
22,1.25e-05
23,1.25e-05
24,1.25e-05
25,1.25e-05
26,1.25e-05
27,6.25e-06
28,6.25e-06
29,6.25e-06
30,6.25e-06
31,3.125e-06
32,3.125e-06
